id,date,title,source,judge,type,outlet,article_hint,search_query
1969,2019.12.24,"""주택보유자 증가 둔화는 다주택자가 늘었기 때문""?", 더불어민주당 최고위원회 발언,대체로 사실 아님,TYPE_D,,,"""주택보유자 증가 둔화는 다주택자가 늘었기 때문""?"
1968,2019.12.30,도서정가제 개정 이후 책값 올랐다?," ""도서정가제 개정 이후 책값 오르고 독서 인구가 감소했다"" 청원",대체로 사실 아님,SKIP,,,
1965,2019.12.20,"국회 경계 100m 이내 시위 된다

", 인터넷 커뮤니티,전혀 사실 아님,SKIP,,,
1964,2019.12.18,"""법무부의 검찰 조기 인사는 위법하다""", 다수 언론 보도,대체로 사실 아님,TYPE_C,,,"""법무부의 검찰 조기 인사는 위법하다"""
1963,2019.12.17,"'곰탕집 성추행', 피해자의 일관된 진술만으로 유죄가 됐다?", 보배드림 자유게시판,전혀 사실 아님,SKIP,,,
1962,2019.12.17,"""중요한 선거제도가 바뀔 때 합의로 된 적이 없다""", 문희상 국회의장 발언 관련한 세계일보 기사 URL,대체로 사실,TYPE_B,세계일보,,"""중요한 선거제도가 바뀔 때 합의로 된 적이 없다"""
1961,2019.12.17,"주52시간 보완책, 야근 많은 中企보안기업 부담 덜어낸다?", 12월 11일 고용노동부 '50∼299인 기업 주 52시간제 안착을 위한 보완대책',절반의 사실,SKIP,,,
1960,2019.12.16,막말 파문 '보니하니' 제재 못한다? ," 청와대 국민청원 '공영 교육채널 EBS ****에서 일어난 청소년 방송인을 향한 언어폭력, 신체 폭력에 대한 진상규명을 요구합니다.' 출처: '톡!톡!보니하니' 시청자 게시판 ",사실,TYPE_D,,,막말 파문 '보니하니' 제재 못한다?
1959,2019.12.13,"""소득주도성장 정책의 성과가 분명하게 나타나고 있다""?", 청와대 브리핑,전혀 사실 아님,TYPE_D,,,"""소득주도성장 정책의 성과가 분명하게 나타나고 있다""?"
1958,2019.12.13,영화 '블랙머니' 속 론스타 수사…대검 중수부가 사건 덮었다?, 영화 '블랙머니' 내용,전혀 사실 아님,SKIP,,,
1957,2019.12.12,"""자유한국당의 필리버스터가 '민식이법'을 막은 것이 아니다.""", 지난 29일 자유한국당 긴급의원총회 직후 나경원 발언출처: 30일 홍익표 서면 브리핑,절반의 사실,TYPE_D,,,"""자유한국당의 필리버스터가 '민식이법'을 막은 것이 아니다."""
1956,2019.12.11,"""예산안을 예산부수법안보다 먼저 처리한 건 불법 아니며 2010년에도 경험이 있다""", 한국당 ‘예산안 날치기’ 주장에 민주당 “시간 끌어놓고 딴소리”,사실,SKIP,,,
1955,2019.12.10,“주한미군 철수할 수 있다.” , 3일 나토정상회의 언론 인터뷰,대체로 사실,TYPE_D,,,“주한미군 철수할 수 있다.”
1954,2019.12.16,"""여객자동차법 개정안은 타다금지법이다."" ", 이재웅 페이스북,대체로 사실 아님,SKIP,,,
1953,2020.01.15,"""금강산 컨테이너 철거 비용이 7000억 원이다""", 민경욱 의원 페이스북출처: 보수 성향 유튜버출처: 다수 언론의 보도,전혀 사실 아님,SKIP,,,
1952,2019.12.09,"""199개 안건에 대한 한국당 필리버스터, 최소한 199일이 소요된 다음에야 종료될 수 있다""", 이인영 민주당 원내대표 기자간담회(12월 1일),대체로 사실,SKIP,,,
